iter: 520000, trainloss: 3875.84, valloss: 4525.69, testloss: 3681.35, lr: 0.004992, time_diff: 1872.906442
iter: 525000, trainloss: 3741.52, valloss: 4439.71, testloss: 3608.63, lr: 0.004992, time_diff: 1871.852399
iter: 530000, trainloss: 3862.79, valloss: 4452.28, testloss: 3613.56, lr: 0.004991, time_diff: 1872.642827
iter: 535000, trainloss: 4013.17, valloss: 4300.58, testloss: 3443.45, lr: 0.004991, time_diff: 1872.514829
iter: 540000, trainloss: 3911.31, valloss: 4403.18, testloss: 3427.86, lr: 0.004991, time_diff: 1874.470876
iter: 545000, trainloss: 4179.32, valloss: 4233.71, testloss: 3672.48, lr: 0.004991, time_diff: 1871.786584
iter: 550000, trainloss: 3859.92, valloss: 4520.32, testloss: 3237.24, lr: 0.004991, time_diff: 1874.454274
iter: 555000, trainloss: 4264.64, valloss: 4467.85, testloss: 3408.12, lr: 0.004991, time_diff: 1879.883146
iter: 560000, trainloss: 3896.88, valloss: 4669.22, testloss: 3506.95, lr: 0.004990, time_diff: 1873.406073
iter: 565000, trainloss: 3894.26, valloss: 4194.73, testloss: 3810.59, lr: 0.004990, time_diff: 1873.979240
iter: 570000, trainloss: 3960.73, valloss: 4522.91, testloss: 3545.85, lr: 0.004990, time_diff: 1872.505470
iter: 575000, trainloss: 3909.56, valloss: 4143.64, testloss: 3770.46, lr: 0.004990, time_diff: 1871.573268
iter: 580000, trainloss: 3754.15, valloss: 4476.32, testloss: 3663.69, lr: 0.004990, time_diff: 1874.209859
iter: 585000, trainloss: 4037.52, valloss: 4311.35, testloss: 3631.27, lr: 0.004989, time_diff: 1873.903093
iter: 590000, trainloss: 4081.96, valloss: 4466.66, testloss: 3564.52, lr: 0.004989, time_diff: 1878.834478
iter: 595000, trainloss: 3757.42, valloss: 4293.64, testloss: 3892.50, lr: 0.004989, time_diff: 1875.430706
iter: 600000, trainloss: 4034.23, valloss: 4229.62, testloss: 3476.72, lr: 0.004989, time_diff: 1871.301220
iter: 605000, trainloss: 4097.99, valloss: 4266.58, testloss: 3335.91, lr: 0.004989, time_diff: 1873.065501
iter: 610000, trainloss: 3722.65, valloss: 4217.05, testloss: 3568.34, lr: 0.004989, time_diff: 1874.420858
iter: 615000, trainloss: 3952.66, valloss: 4297.15, testloss: 3317.30, lr: 0.004988, time_diff: 1873.059339
iter: 620000, trainloss: 3687.08, valloss: 4333.55, testloss: 3356.76, lr: 0.004988, time_diff: 1872.250201
iter: 625000, trainloss: 4033.34, valloss: 4588.66, testloss: 3424.65, lr: 0.004988, time_diff: 1872.870233
iter: 630000, trainloss: 3815.68, valloss: 4326.65, testloss: 3328.11, lr: 0.004988, time_diff: 1884.458713
iter: 635000, trainloss: 3851.50, valloss: 4069.16, testloss: 3565.54, lr: 0.004988, time_diff: 1879.154954
iter: 640000, trainloss: 3934.05, valloss: 4441.08, testloss: 3616.60, lr: 0.004987, time_diff: 1874.874230
iter: 645000, trainloss: 3972.88, valloss: 4474.85, testloss: 3372.16, lr: 0.004987, time_diff: 1874.129836
iter: 650000, trainloss: 4136.28, valloss: 4365.60, testloss: 3644.41, lr: 0.004987, time_diff: 1872.908528
iter: 655000, trainloss: 4094.90, valloss: 4159.89, testloss: 3599.40, lr: 0.004987, time_diff: 1873.753131
iter: 660000, trainloss: 4128.12, valloss: 4310.73, testloss: 3621.97, lr: 0.004987, time_diff: 1872.800136
iter: 665000, trainloss: 3934.04, valloss: 4301.11, testloss: 3654.05, lr: 0.004986, time_diff: 1874.450380
iter: 670000, trainloss: 4178.91, valloss: 4379.55, testloss: 3518.38, lr: 0.004986, time_diff: 1871.637302
iter: 675000, trainloss: 4016.44, valloss: 4380.00, testloss: 3510.16, lr: 0.004986, time_diff: 1873.055299
iter: 680000, trainloss: 3859.56, valloss: 4477.00, testloss: 3479.24, lr: 0.004986, time_diff: 1872.801928
iter: 685000, trainloss: 3872.03, valloss: 4353.98, testloss: 3424.19, lr: 0.004986, time_diff: 1873.608072
iter: 690000, trainloss: 4022.60, valloss: 4571.10, testloss: 3640.36, lr: 0.004985, time_diff: 1873.504258
iter: 695000, trainloss: 4428.64, valloss: 4275.06, testloss: 3503.01, lr: 0.004985, time_diff: 1873.700624
iter: 700000, trainloss: 4265.14, valloss: 4255.42, testloss: 3555.76, lr: 0.004985, time_diff: 1874.266136
iter: 705000, trainloss: 3984.93, valloss: 4562.97, testloss: 3603.50, lr: 0.004985, time_diff: 1877.336443
iter: 710000, trainloss: 3678.95, valloss: 4464.44, testloss: 3594.02, lr: 0.004984, time_diff: 1892.004256
iter: 715000, trainloss: 4127.95, valloss: 4158.51, testloss: 3565.62, lr: 0.004984, time_diff: 1874.157596
iter: 720000, trainloss: 3964.66, valloss: 4225.70, testloss: 3406.76, lr: 0.004984, time_diff: 1873.885021
iter: 725000, trainloss: 4251.17, valloss: 4090.86, testloss: 3604.57, lr: 0.004984, time_diff: 1872.748079
iter: 730000, trainloss: 4021.60, valloss: 4245.01, testloss: 3402.32, lr: 0.004984, time_diff: 1872.825884
iter: 735000, trainloss: 4174.03, valloss: 4467.75, testloss: 3568.84, lr: 0.004983, time_diff: 1873.691366
iter: 740000, trainloss: 4138.65, valloss: 4210.07, testloss: 4006.60, lr: 0.004983, time_diff: 1873.551450
iter: 745000, trainloss: 3648.46, valloss: 4252.07, testloss: 3316.69, lr: 0.004983, time_diff: 1872.949682
iter: 750000, trainloss: 4097.55, valloss: 4296.33, testloss: 3398.35, lr: 0.004983, time_diff: 1871.285800
iter: 755000, trainloss: 3964.69, valloss: 4353.28, testloss: 3595.75, lr: 0.004982, time_diff: 1873.341200
iter: 760000, trainloss: 4101.62, valloss: 4288.39, testloss: 3800.90, lr: 0.004982, time_diff: 1874.525847
iter: 765000, trainloss: 3740.95, valloss: 4381.72, testloss: 3627.06, lr: 0.004982, time_diff: 1873.331575
iter: 770000, trainloss: 3822.58, valloss: 4352.02, testloss: 3547.99, lr: 0.004982, time_diff: 1874.588494
iter: 775000, trainloss: 4050.61, valloss: 4301.63, testloss: 3589.48, lr: 0.004982, time_diff: 1874.354837
iter: 780000, trainloss: 4164.56, valloss: 4411.02, testloss: 3523.28, lr: 0.004981, time_diff: 1875.407733
iter: 785000, trainloss: 3953.31, valloss: 4466.18, testloss: 3522.18, lr: 0.004981, time_diff: 1883.041867
iter: 790000, trainloss: 4169.82, valloss: 4279.22, testloss: 3702.40, lr: 0.004981, time_diff: 1874.590221
iter: 795000, trainloss: 3951.04, valloss: 4198.09, testloss: 3663.51, lr: 0.004981, time_diff: 1872.264418
iter: 800000, trainloss: 3864.89, valloss: 4236.17, testloss: 3327.70, lr: 0.004980, time_diff: 1872.559562
iter: 805000, trainloss: 3797.27, valloss: 4452.89, testloss: 3374.89, lr: 0.004980, time_diff: 1872.636895
iter: 810000, trainloss: 3969.35, valloss: 4386.96, testloss: 3683.58, lr: 0.004980, time_diff: 1872.969653
iter: 815000, trainloss: 3903.99, valloss: 4361.80, testloss: 3603.19, lr: 0.004980, time_diff: 1873.831923
iter: 820000, trainloss: 3905.79, valloss: 4348.19, testloss: 3530.91, lr: 0.004979, time_diff: 1881.232908
iter: 825000, trainloss: 4145.24, valloss: 4283.65, testloss: 3617.88, lr: 0.004979, time_diff: 1876.932534
iter: 830000, trainloss: 3929.32, valloss: 4387.56, testloss: 3438.03, lr: 0.004979, time_diff: 1874.073458
iter: 835000, trainloss: 4079.78, valloss: 4432.30, testloss: 3845.37, lr: 0.004979, time_diff: 1874.122745
iter: 840000, trainloss: 3870.13, valloss: 4441.81, testloss: 3697.59, lr: 0.004978, time_diff: 1873.156093
iter: 845000, trainloss: 3685.94, valloss: 4674.08, testloss: 3549.70, lr: 0.004978, time_diff: 1873.837534
iter: 850000, trainloss: 3997.03, valloss: 4525.09, testloss: 3422.33, lr: 0.004978, time_diff: 1874.986542
iter: 855000, trainloss: 4071.59, valloss: 4173.95, testloss: 3629.84, lr: 0.004978, time_diff: 1875.477479
iter: 860000, trainloss: 3636.12, valloss: 4405.83, testloss: 3524.23, lr: 0.004977, time_diff: 1881.126944
iter: 865000, trainloss: 3997.86, valloss: 4465.32, testloss: 3757.15, lr: 0.004977, time_diff: 1875.463342
iter: 870000, trainloss: 3991.73, valloss: 4380.28, testloss: 3869.96, lr: 0.004977, time_diff: 1871.407928
iter: 875000, trainloss: 3958.59, valloss: 4132.03, testloss: 3768.19, lr: 0.004976, time_diff: 1872.496365
iter: 880000, trainloss: 3722.42, valloss: 4413.21, testloss: 3361.87, lr: 0.004976, time_diff: 1870.124992
iter: 885000, trainloss: 4085.71, valloss: 4365.87, testloss: 3571.78, lr: 0.004976, time_diff: 1871.968863
iter: 890000, trainloss: 3924.93, valloss: 4472.82, testloss: 3448.30, lr: 0.004976, time_diff: 1868.532409
iter: 895000, trainloss: 4257.11, valloss: 4493.30, testloss: 3439.50, lr: 0.004975, time_diff: 1871.706848
iter: 900000, trainloss: 3841.64, valloss: 4250.99, testloss: 3421.25, lr: 0.004975, time_diff: 1871.322327
iter: 905000, trainloss: 3976.54, valloss: 4334.61, testloss: 3530.34, lr: 0.004975, time_diff: 1872.505922
iter: 910000, trainloss: 3821.00, valloss: 4466.52, testloss: 3739.06, lr: 0.004975, time_diff: 1870.116336
iter: 915000, trainloss: 4087.39, valloss: 4405.65, testloss: 3669.62, lr: 0.004974, time_diff: 1872.474501
iter: 920000, trainloss: 3950.60, valloss: 4123.36, testloss: 3527.39, lr: 0.004974, time_diff: 1869.974833
iter: 925000, trainloss: 4202.10, valloss: 4271.45, testloss: 3673.33, lr: 0.004974, time_diff: 1872.267019
iter: 930000, trainloss: 3816.18, valloss: 4256.96, testloss: 3508.91, lr: 0.004973, time_diff: 1870.453192
iter: 935000, trainloss: 3956.70, valloss: 4234.09, testloss: 3514.72, lr: 0.004973, time_diff: 1874.535669
iter: 940000, trainloss: 4081.00, valloss: 4492.56, testloss: 3573.06, lr: 0.004973, time_diff: 1879.637172
iter: 945000, trainloss: 3893.84, valloss: 4378.30, testloss: 3749.86, lr: 0.004973, time_diff: 1873.919451
iter: 950000, trainloss: 4014.53, valloss: 4388.47, testloss: 3889.39, lr: 0.004972, time_diff: 1870.730152
iter: 955000, trainloss: 4323.98, valloss: 4322.14, testloss: 3777.52, lr: 0.004972, time_diff: 1874.111236
iter: 960000, trainloss: 4171.30, valloss: 4286.05, testloss: 3607.64, lr: 0.004972, time_diff: 1874.240054
iter: 965000, trainloss: 3725.76, valloss: 4459.23, testloss: 3827.18, lr: 0.004971, time_diff: 1873.376930
iter: 970000, trainloss: 4040.15, valloss: 4237.50, testloss: 3576.23, lr: 0.004971, time_diff: 1872.103752
iter: 975000, trainloss: 4116.65, valloss: 4425.63, testloss: 3501.51, lr: 0.004971, time_diff: 1874.132634
iter: 980000, trainloss: 3877.28, valloss: 4493.93, testloss: 3468.24, lr: 0.004970, time_diff: 1874.391315
iter: 985000, trainloss: 4125.29, valloss: 4413.39, testloss: 3519.78, lr: 0.004970, time_diff: 1874.088358
iter: 990000, trainloss: 4195.01, valloss: 4231.15, testloss: 3539.04, lr: 0.004970, time_diff: 1872.480930
iter: 995000, trainloss: 4179.89, valloss: 4542.42, testloss: 3606.80, lr: 0.004970, time_diff: 1873.757246
iter: 1000000, trainloss: 3928.49, valloss: 4506.81, testloss: 3553.58, lr: 0.004969, time_diff: 1872.937506
iter: 1005000, trainloss: 3960.31, valloss: 4265.30, testloss: 3390.25, lr: 0.004969, time_diff: 1873.016416
iter: 1010000, trainloss: 4083.33, valloss: 4467.81, testloss: 3566.04, lr: 0.004969, time_diff: 1874.973054
